"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"953","2437.14306640625","2437.14306640625","2437.14306640625"
"954","699.4851684570312","699.4851684570312","699.4851684570312"
"956","177.5015869140625","177.5015869140625","177.5015869140625"
"958","219.26934814453125","219.26934814453125","219.26934814453125"
"961","959.3513793945312","959.3513793945312","959.3513793945312"
"962","1108.3753662109375","1108.3753662109375","1108.3753662109375"
"964","78.27688598632812","78.27688598632812","78.27688598632812"
"971","1017.048828125","1017.048828125","1017.048828125"
"973","834.67529296875","834.67529296875","834.67529296875"
"975","612.2718505859375","612.2718505859375","612.2718505859375"
"977","76.48956298828125","76.48956298828125","76.48956298828125"
"980","1227.549072265625","1227.549072265625","1227.549072265625"
"984","523.85888671875","523.85888671875","523.85888671875"
"988","304.96087646484375","304.96087646484375","304.96087646484375"
"989","647.0111083984375","647.0111083984375","647.0111083984375"
"990","1419.3338623046875","1419.3338623046875","1419.3338623046875"
"993","646.8250732421875","646.8250732421875","646.8250732421875"
"996","1885.756103515625","1885.756103515625","1885.756103515625"
"997","274.0169677734375","274.0169677734375","274.0169677734375"
"998","2166.467529296875","2166.467529296875","2166.467529296875"
"1000","80.6160888671875","80.6160888671875","80.6160888671875"
"1001","69.5293197631836","69.5293197631836","69.5293197631836"
"1002","552.0774536132812","552.0774536132812","552.0774536132812"
"1004","1414.17333984375","1414.17333984375","1414.17333984375"
"1007","1525.8436279296875","1525.8436279296875","1525.8436279296875"
"1008","70.36077117919922","70.36077117919922","70.36077117919922"
"1009","1870.4957275390625","1870.4957275390625","1870.4957275390625"
"1010","843.3969116210938","843.3969116210938","843.3969116210938"
"1011","962.19482421875","962.19482421875","962.19482421875"
"1012","576.7007446289062","576.7007446289062","576.7007446289062"
"1014","196.716064453125","196.716064453125","196.716064453125"
"1018","64.58341979980469","64.58341979980469","64.58341979980469"
"1019","68.05612182617188","68.05612182617188","68.05612182617188"
"1020","2191.0068359375","2191.0068359375","2191.0068359375"
"1022","1447.9642333984375","1447.9642333984375","1447.9642333984375"
"1024","792.98583984375","792.98583984375","792.98583984375"
"1025","454.6864013671875","454.6864013671875","454.6864013671875"
"1026","1296.981201171875","1296.981201171875","1296.981201171875"
"1027","1790.1376953125","1790.1376953125","1790.1376953125"
"1028","2854.69091796875","2854.69091796875","2854.69091796875"
"1030","506.93267822265625","506.93267822265625","506.93267822265625"
"1031","6535.13671875","6535.13671875","6535.13671875"
"1038","1331.7559814453125","1331.7559814453125","1331.7559814453125"
"1040","1283.3411865234375","1283.3411865234375","1283.3411865234375"
"1041","985.8025512695312","985.8025512695312","985.8025512695312"
"1042","1135.8656005859375","1135.8656005859375","1135.8656005859375"
"1044","1392.943603515625","1392.943603515625","1392.943603515625"
"1048","411.1393737792969","411.1393737792969","411.1393737792969"
"1049","876.7115478515625","876.7115478515625","876.7115478515625"
"1053","6353.40380859375","6353.40380859375","6353.40380859375"
"1054","257.8450927734375","257.8450927734375","257.8450927734375"
"1055","286.5403137207031","286.5403137207031","286.5403137207031"
"1056","685.7904052734375","685.7904052734375","685.7904052734375"
"1058","853.07177734375","853.07177734375","853.07177734375"
"1060","1505.5634765625","1505.5634765625","1505.5634765625"
